,Smiles,logP,y_category
91,FC1CCN(C1)C(=O)C1=CC=CC=C1,0.91,"(0.863, 1.465]"
122,[H]C([H])(F)C1CCN1C(=O)C1=CC=CC=C1,1.4,"(0.863, 1.465]"
80,FC1(F)C2COCC1CN(C2)C(=O)C1=CC=CC=C1,1.19,"(0.863, 1.465]"
162,O=C(NC1CC1)C1=CC=CC=C1,1.29,"(0.863, 1.465]"
78,FC1(F)C2CCCC1CN(C2)C(=O)C1=CC=CC=C1,2.18,"(2.067, 2.668]"
57,FC1(F)CCC(CC1)NC(=O)C1=CC=CC=C1,2.31,"(2.067, 2.668]"
52,O=C(NC1=CC=CC=C1)C1CC11CC1,2.35,"(2.067, 2.668]"
47,[H]C(F)(F)[C@@H]1C[C@@H]1C(=O)NC1=CC=CC=C1,2.35,"(2.067, 2.668]"
98,F[C@H]1C[C@H](F)CN(C1)C(=O)C1=CC=CC=C1,1.35,"(0.863, 1.465]"
92,FC1(F)CCN(C1)C(=O)C1=CC=CC=C1,1.35,"(0.863, 1.465]"
180,O=C(NC1CC11CC1)C1=CC=CC=C1,2.08,"(2.067, 2.668]"
58,O=C(NC1CCCCC1)C1=CC=CC=C1,2.72,"(2.668, 3.27]"
68,FC(F)(F)C1CCCCN1C(=O)C1=CC=CC=C1,2.54,"(2.067, 2.668]"
174,[H]C(F)(F)[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1,1.64,"(1.465, 2.067]"
108,[H]C(F)(F)[C@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1,1.97,"(1.465, 2.067]"
124,FC(F)(F)CNC(=O)C1=CC=CC=C1,1.76,"(1.465, 2.067]"
53,FC1(F)C(C(=O)NC2=CC=CC=C2)C11CC1,2.42,"(2.067, 2.668]"
56,FC1(F)[C@H]2C[C@H](C[C@@H]12)NC(=O)C1=CC=CC=C1,2.47,"(2.067, 2.668]"
150,FC1(F)CC(C1)NC(=O)C1=CC=CC=C1,1.94,"(1.465, 2.067]"
11,FC(F)(F)[C@@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1,2.72,"(2.668, 3.27]"
148,FC1(F)CC1NC(=O)C1=CC=CC=C1,1.51,"(1.465, 2.067]"
67,FC(F)(F)C12CCC(CC1)CN2C(=O)C1=CC=CC=C1,2.51,"(2.067, 2.668]"
81,O=C(N1CC2COCC(C2)C1)C1=CC=CC=C1,0.84,"(0.262, 0.863]"
76,FC1(F)CC2CC(CN(C2)C(=O)C2=CC=CC=C2)C1,1.59,"(1.465, 2.067]"
147,CCCNC(=O)C1=CC=CC=C1,1.72,"(1.465, 2.067]"
151,FC1(F)CCCC1NC(=O)C1=CC=CC=C1,1.87,"(1.465, 2.067]"
88,FC1CN(C1)C(=O)C1=CC=CC=C1,0.94,"(0.863, 1.465]"
54,FC1(F)CC11CC1C(=O)NC1=CC=CC=C1,2.66,"(2.067, 2.668]"
77,FC1(F)CC2CN(CC(C1)C2(F)F)C(=O)C1=CC=CC=C1,1.84,"(1.465, 2.067]"
115,O=C(N1CCCCC1)C1=CC=CC=C1,1.39,"(0.863, 1.465]"
87,O=C(N1CCC1)C1=CC=CC=C1,1.13,"(0.863, 1.465]"
175,[H]C(F)(F)[C@@H]1C[C@@H]1NC(=O)C1=CC=CC=C1,1.36,"(0.863, 1.465]"
7,FCC1(CCC1)C(=O)NC1=CC=CC=C1,1.88,"(1.465, 2.067]"
132,[H]C(F)(F)C1CCN(C1)C(=O)C1=CC=CC=C1,1.4,"(0.863, 1.465]"
120,FC(F)(F)C1CCN1C(=O)C1=CC=CC=C1,1.75,"(1.465, 2.067]"
143,[H]C([H])(F)C1CCN(CC1)C(=O)C1=CC=CC=C1,1.45,"(0.863, 1.465]"
112,FC(F)(F)C1CCCCN1C(=O)C1=CC=CC=C1,2.54,"(2.067, 2.668]"
15,[H]C([H])(F)[C@@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1,1.96,"(1.465, 2.067]"
62,FC(F)(F)C1CCCN1C(=O)C1=CC=CC=C1,2.12,"(2.067, 2.668]"
18,FC1(F)CC(C1)C(=O)NC1=CC=CC=C1,2.26,"(2.067, 2.668]"
111,[H]C([H])(F)[C@@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1,1.77,"(1.465, 2.067]"
40,O=C(NC1=CC=CC=C1)C1=CC=CC=C1,2.49,"(2.067, 2.668]"
84,FC1(F)C2CCC1CN(C2)C(=O)C1=CC=CC=C1,2.09,"(2.067, 2.668]"
28,FC(F)CCCC(=O)NC1=CC=CC=C1,2.06,"(1.465, 2.067]"
1,O=C(NC1=CC=CC=C1)C1CCCCC1,2.88,"(2.668, 3.27]"
29,O=C(NC1=CC=CC=C1)C1CC1,1.92,"(1.465, 2.067]"
101,F[C@@H]1CCN(C[C@H]1F)C(=O)C1=CC=CC=C1,1.26,"(0.863, 1.465]"
158,FC1(F)CCCC(CC1)NC(=O)C1=CC=CC=C1,2.5,"(2.067, 2.668]"
69,O=C(N1CC2CCC1C2)C1=CC=CC=C1,1.65,"(1.465, 2.067]"
139,[H]C([H])(F)CCNC(=O)C1=CC=CC=C1,1.28,"(0.863, 1.465]"
41,FC(F)(F)[C@@H]1CC[C@H]1C(=O)NC1=CC=CC=C1,2.88,"(2.668, 3.27]"
59,O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)C1=CC=CC=C1,2.3,"(2.067, 2.668]"
21,FC1(F)CCCCC1C(=O)NC1=CC=CC=C1,2.5,"(2.067, 2.668]"
6,O=C(NC1=CC=CC=C1)C1CCC1,2.26,"(2.067, 2.668]"
130,[H]C([H])(F)C1CCCN(C1)C(=O)C1=CC=CC=C1,1.52,"(1.465, 2.067]"
159,CCC(F)(F)CNC(=O)C1=CC=CC=C1,2.04,"(1.465, 2.067]"
74,O=C(N1CC2CC1CCC2)C1=CC=CC=C1,1.88,"(1.465, 2.067]"
72,O=C(N1CCCCC1)C1=CC=CC=C1,1.39,"(0.863, 1.465]"
70,CC12CCC(CC1)CN2C(=O)C1=CC=CC=C1,2.66,"(2.067, 2.668]"
144,[H]C([H])(F)CCCNC(=O)C1=CC=CC=C1,1.56,"(1.465, 2.067]"
135,[H]C(F)(F)C1CN(C1)C(=O)C1=CC=CC=C1,1.4,"(0.863, 1.465]"
114,[H]C([H])(F)C1CCCCN1C(=O)C1=CC=CC=C1,2.0,"(1.465, 2.067]"
129,[H]C(F)(F)C1CCCN(C1)C(=O)C1=CC=CC=C1,1.73,"(1.465, 2.067]"
127,CNC(=O)C1=CC=CC=C1,1.03,"(0.863, 1.465]"
136,[H]C([H])(F)C1CN(C1)C(=O)C1=CC=CC=C1,0.93,"(0.863, 1.465]"
94,F[C@@H]1CN(C[C@H]1F)C(=O)C1=CC=CC=C1,1.08,"(0.863, 1.465]"
110,[H]C([H])(F)[C@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1,1.78,"(1.465, 2.067]"
61,FC(F)(F)C12CC(C1)CN2C(=O)C1=CC=CC=C1,1.93,"(1.465, 2.067]"
128,FC(F)(F)C1CCCN(C1)C(=O)C1=CC=CC=C1,2.21,"(2.067, 2.668]"
141,FC(F)(F)C1CCN(CC1)C(=O)C1=CC=CC=C1,2.2,"(2.067, 2.668]"
155,FC1(F)CCC(CC1)NC(=O)C1=CC=CC=C1,2.32,"(2.067, 2.668]"
96,FC1(F)CCCN(C1)C(=O)C1=CC=CC=C1,1.65,"(1.465, 2.067]"
172,FC(F)(F)[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1,1.79,"(1.465, 2.067]"
73,FC(F)(F)C12CC(CN1C(=O)C1=CC=CC=C1)CCC2,2.67,"(2.668, 3.27]"
104,FCC1(CCC1)NC(=O)C1=CC=CC=C1,2.03,"(1.465, 2.067]"
8,FC(F)C1(CCC1)C(=O)NC1=CC=CC=C1,2.19,"(2.067, 2.668]"
116,FC(F)(F)C1CCCN1C(=O)C1=CC=CC=C1,2.12,"(2.067, 2.668]"
131,FC(F)(F)C1CCN(C1)C(=O)C1=CC=CC=C1,1.7,"(1.465, 2.067]"
85,O=C(N1CC2CCC(C2)C1)C1=CC=CC=C1,2.31,"(2.067, 2.668]"
109,[H]C(F)(F)[C@@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1,1.98,"(1.465, 2.067]"
10,FC(F)(F)[C@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1,3.02,"(2.668, 3.27]"
100,F[C@@H]1CCN(C[C@@H]1F)C(=O)C1=CC=CC=C1,1.15,"(0.863, 1.465]"
146,FC(F)(F)CCCNC(=O)C1=CC=CC=C1,2.28,"(2.067, 2.668]"
4,FC1(F)[C@H]2C[C@H](C[C@@H]12)C(=O)NC1=CC=CC=C1,2.37,"(2.067, 2.668]"
43,[H]C([H])(F)[C@@H]1CC[C@H]1C(=O)NC1=CC=CC=C1,2.11,"(2.067, 2.668]"
23,FC1(F)CCCCCC1C(=O)NC1=CC=CC=C1,2.9,"(2.668, 3.27]"
113,[H]C(F)(F)C1CCCCN1C(=O)C1=CC=CC=C1,2.04,"(1.465, 2.067]"
179,[H]C([H])(F)[C@H]1C[C@H]1NC(=O)C1=CC=CC=C1,1.12,"(0.863, 1.465]"
125,[H]C(F)(F)CNC(=O)C1=CC=CC=C1,1.37,"(0.863, 1.465]"
42,[H]C(F)(F)[C@@H]1CC[C@H]1C(=O)NC1=CC=CC=C1,2.22,"(2.067, 2.668]"
153,FC1(F)CCCCC1NC(=O)C1=CC=CC=C1,2.16,"(2.067, 2.668]"
161,FC(F)CCCNC(=O)C1=CC=CC=C1,1.76,"(1.465, 2.067]"
64,O=C(N1CCCC1)C1=CC=CC=C1,1.19,"(0.863, 1.465]"
182,FC1(F)CC11CC1NC(=O)C1=CC=CC=C1,2.04,"(1.465, 2.067]"
48,[H]C([H])(F)[C@@H]1C[C@H]1C(=O)NC1=CC=CC=C1,1.12,"(0.863, 1.465]"
9,FC(F)(F)C1(CCC1)C(=O)NC1=CC=CC=C1,2.51,"(2.067, 2.668]"
164,O=C(NC1CCCCCC1)C1=CC=CC=C1,3.03,"(2.668, 3.27]"
145,[H]C(F)(F)CCCNC(=O)C1=CC=CC=C1,1.76,"(1.465, 2.067]"
39,O=C(NC1=CC=CC=C1)C12CC(C1)CO2,1.54,"(1.465, 2.067]"
168,FC1(F)CC2(CC(C2)NC(=O)C2=CC=CC=C2)C1,2.53,"(2.067, 2.668]"
117,[H]C(F)(F)C1CCCN1C(=O)C1=CC=CC=C1,1.88,"(1.465, 2.067]"
93,F[C@H]1CN(C[C@H]1F)C(=O)C1=CC=CC=C1,1.01,"(0.863, 1.465]"
45,FC(F)(F)[C@@H]1C[C@@H]1C(=O)NC1=CC=CC=C1,2.12,"(2.067, 2.668]"
160,CC(F)(F)CCNC(=O)C1=CC=CC=C1,1.81,"(1.465, 2.067]"
65,CC12CC(C1)CN2C(=O)C1=CC=CC=C1,1.75,"(1.465, 2.067]"
156,FC1(F)CCCCCC1NC(=O)C1=CC=CC=C1,2.56,"(2.067, 2.668]"
140,CCNC(=O)C1=CC=CC=C1,1.31,"(0.863, 1.465]"
82,O=C(N1CC2CC(C1)CS(=O)(=O)C2)C1=CC=CC=C1,-0.34,"(-0.344, 0.262]"
26,CCC(F)(F)CC(=O)NC1=CC=CC=C1,2.26,"(2.067, 2.668]"
35,FC1CC2(C1)CC(C2)C(=O)NC1=CC=CC=C1,2.69,"(2.668, 3.27]"
107,FC(F)(F)[C@@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1,2.62,"(2.067, 2.668]"
30,O=C(NC1=CC=CC=C1)C1CCC1,2.26,"(2.067, 2.668]"
121,[H]C(F)(F)C1CCN1C(=O)C1=CC=CC=C1,1.51,"(1.465, 2.067]"
166,O=C(NC1CC2(CCC2)C1)C1=CC=CC=C1,3.26,"(2.668, 3.27]"
25,FC1(F)CCCC(CC1)C(=O)NC1=CC=CC=C1,2.95,"(2.668, 3.27]"
33,CCCCC(=O)NC1=CC=CC=C1,2.29,"(2.067, 2.668]"
2,O=C(NC1=CC=CC=C1)[C@H]1C[C@@H]2C[C@@H]2C1,2.87,"(2.668, 3.27]"
106,FC(F)(F)[C@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1,2.82,"(2.668, 3.27]"
12,[H]C(F)(F)[C@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1,2.39,"(2.067, 2.668]"
118,[H]C([H])(F)C1CCCN1C(=O)C1=CC=CC=C1,1.75,"(1.465, 2.067]"
66,FC(F)(F)C12CCC(CN1C(=O)C1=CC=CC=C1)C2,2.2,"(2.067, 2.668]"
154,FC1(F)CCCC(C1)NC(=O)C1=CC=CC=C1,2.31,"(2.067, 2.668]"
44,FC(F)(F)[C@@H]1C[C@H]1C(=O)NC1=CC=CC=C1,2.98,"(2.668, 3.27]"
24,FC1(F)CCCCC(C1)C(=O)NC1=CC=CC=C1,3.03,"(2.668, 3.27]"
83,FC1(F)C2CN(CC1CS(=O)(=O)C2)C(=O)C1=CC=CC=C1,0.2,"(-0.344, 0.262]"
63,O=C(N1CC2CC1C2)C1=CC=CC=C1,1.47,"(1.465, 2.067]"
19,FC1(F)CCCC1C(=O)NC1=CC=CC=C1,2.25,"(2.067, 2.668]"
95,FC1CCCN(C1)C(=O)C1=CC=CC=C1,1.26,"(0.863, 1.465]"
138,[H]C(F)(F)CCNC(=O)C1=CC=CC=C1,1.49,"(1.465, 2.067]"
32,O=C(NC1=CC=CC=C1)C1CCCCCC1,3.24,"(2.668, 3.27]"
20,FC1(F)CCC(C1)C(=O)NC1=CC=CC=C1,2.5,"(2.067, 2.668]"
165,CCCCNC(=O)C1=CC=CC=C1,2.23,"(2.067, 2.668]"
75,CC12CC(CN1C(=O)C1=CC=CC=C1)CCC2,2.41,"(2.067, 2.668]"
37,FC(F)(F)C12CC(C1)(OC2)C(=O)NC1=CC=CC=C1,2.05,"(1.465, 2.067]"
176,C[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1,1.83,"(1.465, 2.067]"
134,FC(F)(F)C1CN(C1)C(=O)C1=CC=CC=C1,1.66,"(1.465, 2.067]"
46,[H]C(F)(F)[C@@H]1C[C@H]1C(=O)NC1=CC=CC=C1,2.28,"(2.067, 2.668]"
97,F[C@H]1C[C@@H](F)CN(C1)C(=O)C1=CC=CC=C1,0.58,"(0.262, 0.863]"
157,FC1(F)CCCCC(C1)NC(=O)C1=CC=CC=C1,2.57,"(2.067, 2.668]"
3,O=C(NC1=CC=CC=C1)[C@@H]1C[C@@H]2C[C@@H]2C1,2.92,"(2.668, 3.27]"
178,[H]C([H])(F)[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1,1.41,"(0.863, 1.465]"
60,O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)C1=CC=CC=C1,2.19,"(2.067, 2.668]"
102,FC(F)(F)C1(CCC1)NC(=O)C1=CC=CC=C1,2.51,"(2.067, 2.668]"
169,FC(F)(F)[C@@H]1CC[C@H]1NC(=O)C1=CC=CC=C1,2.54,"(2.067, 2.668]"
14,[H]C([H])(F)[C@H]1C[C@@H](C1)C(=O)NC1=CC=CC=C1,2.14,"(2.067, 2.668]"
71,O=C(N1CC2CCC1CC2)C1=CC=CC=C1,2.01,"(1.465, 2.067]"
