,fold_id,pKa,Smiles,identificator
55,1,8.89,N[C@@H]1C[C@H]2C(F)(F)[C@H]2C1,Primary amine
56,1,8.95,N[C@H]1C[C@H]2C(F)(F)[C@H]2C1,Primary amine
57,1,9.45,NC1CCC(F)(F)CC1,Primary amine
58,1,10.58,NC1CCCCC1,Primary amine
59,0,9.79,N[C@H]1C[C@H]2C[C@H]2C1,Primary amine
60,1,9.77,N[C@@H]1C[C@H]2C[C@H]2C1,Primary amine
61,1,6.52,FC(F)(C1(NC2)CC2C1)F,Secondary amine
62,0,6.06,FC(F)(C1CCCN1)F,Secondary amine
64,1,11.29,C1CCCN1,Secondary amine
66,0,6.23,FC(F)(F)C12CCC(C2)CN1,Secondary amine
67,0,6.56,FC(F)(F)C12CCC(CC2)CN1,Secondary amine
68,1,6.41,FC(F)(F)C1CCCCN1,Secondary amine
69,1,10.42,C12CCC(C2)CN1,Secondary amine
70,1,11.27,CC12CCC(CC2)CN1,Secondary amine
72,1,11.12,C1CCNCC1,Secondary amine
73,0,5.96,FC(F)(F)C12CCCC(C2)CN1,Secondary amine
74,0,10.38,C12CCCC(C2)CN1,Secondary amine
75,0,10.99,CC12CCCC(C2)CN1,Secondary amine
76,0,9.41,FC1(F)CC2CC(C1)CNC2,Secondary amine
77,0,6.37,FC1(F)C2CNCC1CC(F)(F)C2,Secondary amine
78,0,7.72,FC1(F)C2CNCC1CCC2,Secondary amine
79,1,10.86,C1(CCC2)CC2CNC1,Secondary amine
80,0,8.05,FC1(F)C2CNCC1COC2,Secondary amine
81,0,10.4,C1(COC2)CC2CNC1,Secondary amine
84,1,7.69,FC1(F)C2CNCC1CC2,Secondary amine
85,1,10.53,C1(CC2)CC2CNC1,Secondary amine
86,0,7.75,FC1(F)CCNCC1,Secondary amine
87,0,11.13,C1CCN1,Secondary amine
88,0,8.55,FC1CNC1,Secondary amine
89,1,6.44,FC1(F)CNC1,Secondary amine
90,0,11.21,C1NCCC1,Secondary amine
91,1,8.87,FC1CNCC1,Secondary amine
92,1,6.88,FC1(F)CNCC1,Secondary amine
93,1,7.07,F[C@H]1CNC[C@H]1F,Secondary amine
95,0,8.64,FC1CNCCC1,Secondary amine
97,0,6.74,F[C@@H]1CNC[C@H](F)C1,Secondary amine
98,1,6.22,F[C@@H]1CNC[C@@H](F)C1,Secondary amine
99,0,9.05,FC1CCNCC1,Secondary amine
100,0,7.01,F[C@H]1[C@@H](F)CNCC1,Secondary amine
101,1,7.02,F[C@H]1[C@H](F)CNCC1,Secondary amine
102,1,5.0,NC1(C(F)(F)F)CCC1,Primary amine
103,0,6.62,NC1(C(F)F)CCC1,Primary amine
106,0,8.74,N[C@@H]1C[C@@H](C(F)(F)F)C1,Primary amine
107,0,8.6,N[C@@H]1C[C@H](C(F)(F)F)C1,Primary amine
108,1,9.17,N[C@@H]1C[C@@H](C(F)(F)[H])C1,Primary amine
109,0,9.04,N[C@@H]1C[C@H](C(F)(F)[H])C1,Primary amine
110,0,9.58,N[C@@H]1C[C@@H](C(F)([H])[H])C1,Primary amine
111,1,9.48,N[C@@H]1C[C@H](C(F)([H])[H])C1,Primary amine
112,1,6.41,FC(F)(F)C1NCCCC1,Secondary amine
113,1,7.99,FC([H])(F)C1NCCCC1,Secondary amine
114,1,9.52,[H]C([H])(F)C1NCCCC1,Secondary amine
115,0,11.12,C1CNCCC1,Secondary amine
116,1,6.06,FC(F)(F)C1NCCC1,Secondary amine
117,0,7.78,FC([H])(F)C1NCCC1,Secondary amine
118,0,9.55,[H]C([H])(F)C1NCCC1,Secondary amine
119,0,11.31,C1CNCC1,Secondary amine
120,0,5.84,FC(F)(F)C1NCC1,Secondary amine
121,1,7.83,FC([H])(F)C1NCC1,Secondary amine
122,0,9.67,[H]C([H])(F)C1NCC1,Secondary amine
123,1,11.29,C1NCC1,Secondary amine
126,0,8.96,NCC([H])(F)[H],Primary amine
130,0,10.32,FC([H])([H])C1CNCCC1,Secondary amine
132,0,9.75,FC([H])(F)C1CNCC1,Secondary amine
133,0,10.38,FC([H])([H])C1CNCC1,Secondary amine
134,1,8.67,FC(F)(F)C1CNC1,Secondary amine
135,0,9.57,FC([H])(F)C1CNC1,Secondary amine
136,1,10.05,FC([H])([H])C1CNC1,Secondary amine
137,0,8.88,NCCC(F)(F)F,Primary amine
138,0,9.02,NCCC(F)(F)[H],Primary amine
139,1,10.05,NCCC(F)([H])[H],Primary amine
140,0,10.75,NCC,Primary amine
141,0,9.6,FC(F)(F)C1CCNCC1,Secondary amine
142,1,10.19,[H]C(F)(F)C1CCNCC1,Secondary amine
143,1,10.46,[H]C(F)([H])C1CCNCC1,Secondary amine
145,1,10.04,NCCCC(F)(F)[H],Primary amine
146,1,9.74,NCCCC(F)(F)F,Primary amine
147,0,10.03,NCCC,Primary amine
149,1,7.2,FC1(F)CCC1N,Primary amine
150,0,8.37,FC1(F)CC(N)C1,Primary amine
152,1,8.83,FC1(F)CC(N)CC1,Primary amine
153,0,7.45,FC1(F)C(N)CCCC1,Primary amine
155,1,9.45,FC1(F)CCC(N)CC1,Primary amine
156,1,8.13,FC1(F)C(N)CCCCC1,Primary amine
157,1,9.35,FC1(F)CC(N)CCCC1,Primary amine
160,0,9.57,CC(F)(F)CCN,Primary amine
161,1,10.01,NCCCC(F)F,Primary amine
163,0,10.52,NC1CCCC1,Primary amine
164,0,10.69,NC1CCCCCC1,Primary amine
167,0,9.81,NC(C1)CC21CC(F)C2,Primary amine
169,1,7.95,N[C@@H]1CC[C@H]1C(F)(F)F,Primary amine
170,1,8.98,N[C@@H]1CC[C@H]1C(F)([H])F,Primary amine
171,0,9.32,N[C@@H]1CC[C@H]1C([H])([H])F,Primary amine
172,0,7.18,N[C@H]1[C@H](C(F)(F)F)C1,Primary amine
173,1,6.92,N[C@@H]1[C@H](C(F)(F)F)C1,Primary amine
174,1,7.76,N[C@H]1[C@H](C(F)([H])F)C1,Primary amine
175,1,7.16,N[C@@H]1[C@H](C(F)([H])F)C1,Primary amine
176,1,9.44,C[C@@H]1C[C@H]1N,Primary amine
177,1,9.15,C[C@@H]1C[C@@H]1N,Primary amine
180,0,9.41,NC1C2(CC2)C1,Primary amine
182,0,7.44,NC1C2(C(F)(F)C2)C1,Primary amine
